,employment_level_in_thousands,Date,unemployment_level_in_thousands,us_spend_in_millions,mining_income_in_millions,hha_net_worth_in_millions,hha_net_worth/dpi,hha_total_assets_in_millions,hha_total_assets/dpi,downturn
202,69892,1964-11-01,3318,109896.33333333333,7538.0,2618756.0,533.2166666666667,2943290.0,599.2966666666667,0
203,69543,1964-12-01,3409,110362.66666666667,7551.0,2633331.0,533.5233333333333,2959030.0,599.5133333333333,0
204,68235,1965-01-01,3942,110829.0,7564.0,2647906.0,533.83,2974770.0,599.73,0
205,68690,1965-02-01,4172,111519.0,7539.333333333333,2646866.3333333335,530.7533333333333,2976932.0,596.9333333333334,0
206,69385,1965-03-01,3699,112209.0,7514.666666666667,2645826.6666666665,527.6766666666667,2979094.0,594.1366666666667,0
207,70220,1965-04-01,3492,112899.0,7490.0,2644787.0,524.6,2981256.0,591.34,0
208,71298,1965-05-01,3214,114563.66666666667,7508.0,2670758.3333333335,524.3100000000001,3009532.6666666665,590.8233333333334,0
209,72278,1965-06-01,4057,116228.33333333333,7526.0,2696729.6666666665,524.02,3037809.3333333335,590.3066666666666,0
210,73093,1965-07-01,3429,117893.0,7544.0,2722701.0,523.73,3066086.0,589.79,0
211,72695,1965-08-01,3165,119642.0,7563.333333333333,2749513.3333333335,524.8033333333334,3096032.0,590.9499999999999,0
212,71408,1965-09-01,2842,121391.0,7582.666666666667,2776325.6666666665,525.8766666666667,3125978.0,592.11,0
213,72112,1965-10-01,2709,123140.0,7602.0,2803138.0,526.95,3155924.0,593.27,0
214,71824,1965-11-01,2888,123797.33333333333,7647.333333333333,2805328.3333333335,524.2966666666667,3159173.6666666665,590.43,0
215,71819,1965-12-01,2786,124454.66666666667,7692.666666666667,2807518.6666666665,521.6433333333333,3162423.3333333335,587.59,0
216,70368,1966-01-01,3244,125112.0,7738.0,2809709.0,518.99,3165673.0,584.75,0
217,70691,1966-02-01,3109,126646.66666666667,7716.666666666667,2820411.6666666665,519.0933333333334,3179607.6666666665,585.2066666666667,0
218,71090,1966-03-01,2990,128181.33333333333,7695.333333333333,2831114.3333333335,519.1966666666666,3193542.3333333335,585.6633333333333,0
219,72066,1966-04-01,2730,129716.0,7674.0,2841817.0,519.3,3207477.0,586.12,0
220,72619,1966-05-01,2793,131573.33333333334,7773.333333333333,2832330.3333333335,514.2133333333334,3199287.3333333335,580.83,0
221,74037,1966-06-01,3592,133430.66666666666,7872.666666666667,2822843.6666666665,509.12666666666667,3191097.6666666665,575.54,0
222,74655,1966-07-01,3050,135288.0,7972.0,2813357.0,504.04,3182908.0,570.25,0
223,74665,1966-08-01,2821,135989.33333333334,7961.0,2843048.0,506.04,3214756.0,572.2066666666667,0
224,73248,1966-09-01,2503,136690.66666666666,7950.0,2872739.0,508.04,3246604.0,574.1633333333333,0
225,73744,1966-10-01,2465,137392.0,7939.0,2902430.0,510.04,3278452.0,576.12,0
226,73995,1966-11-01,2579,139827.66666666666,7951.0,2937852.0,513.1433333333333,3313804.0,578.82,0
227,73600,1966-12-01,2655,142263.33333333334,7963.0,2973274.0,516.2466666666667,3349156.0,581.52,0
228,72161,1967-01-01,3159,144699.0,7975.0,3008696.0,519.35,3384508.0,584.22,0
229,72505,1967-02-01,3184,145548.66666666666,7988.666666666667,3022374.6666666665,519.5033333333333,3400631.6666666665,584.52,0
230,72560,1967-03-01,2954,146398.33333333334,8002.333333333333,3036053.3333333335,519.6566666666666,3416755.3333333335,584.82,0
231,73445,1967-04-01,2664,147248.0,8016.0,3049732.0,519.81,3432879.0,585.12,0
232,73638,1967-05-01,2458,148318.0,8072.666666666667,3078633.3333333335,521.4433333333333,3463801.0,586.6866666666667,0
233,75393,1967-06-01,3628,149388.0,8129.333333333333,3107534.6666666665,523.0766666666667,3494723.0,588.2533333333333,0
234,76220,1967-07-01,3249,150458.0,8186.0,3136436.0,524.71,3525645.0,589.82,0
235,76170,1967-08-01,2942,151969.33333333334,8192.0,3158973.3333333335,525.6766666666667,3555402.3333333335,591.6333333333333,0
236,74632,1967-09-01,2895,153480.66666666666,8198.0,3181510.6666666665,526.6433333333333,3585159.6666666665,593.4466666666667,0
237,75180,1967-10-01,2952,154992.0,8204.0,3204048.0,527.61,3614917.0,595.26,0
238,75218,1967-11-01,2903,157126.33333333334,8317.666666666666,3211457.3333333335,524.0966666666667,3619526.0,590.6966666666667,0
239,75337,1967-12-01,2720,159260.66666666666,8431.333333333334,3218866.6666666665,520.5833333333334,3624135.0,586.1333333333333,0
240,73272,1968-01-01,3074,161395.0,8545.0,3226276.0,517.07,3628744.0,581.57,0
241,74114,1968-02-01,3287,162299.0,8724.666666666666,3272264.6666666665,519.7466666666667,3678970.6666666665,584.3466666666667,0
242,74517,1968-03-01,2929,163203.0,8904.333333333334,3318253.3333333335,522.4233333333334,3729197.3333333335,587.1233333333333,0
243,75143,1968-04-01,2491,164107.0,9084.0,3364242.0,525.1,3779424.0,589.9,0
244,75931,1968-05-01,2304,165345.66666666666,9106.666666666666,3384894.0,525.9333333333334,3802609.0,590.8366666666667,0
245,77273,1968-06-01,3615,166584.33333333334,9129.333333333334,3405546.0,526.7666666666667,3825794.0,591.7733333333333,0
246,77748,1968-07-01,3217,167823.0,9152.0,3426198.0,527.6,3848979.0,592.71,0
